id,number,name,description,travel_time
56660,753,Ковель Хелм,10/12/2017 - 8/12/2018 щоденно,2:48
57135,98,Ковель Київ,29/12/2017,10:09
1479,98,Ковель Київ,"цілий рік щоденно (крім 29/12/2017);  відмінено 31/12/2017, 6/01/2018",10:00
56762,88,Ковель Новоолексіївка,"11/12/2017-23/03/2018 та з 29/10/2018 по непарних, при двох непарних 27,29,1",24:30
356,128,Ковель Харків,"цілий рік по парних, при двох непарних 28,30,2",21:49
56852,78,Ковель Київ,цілий рік щоденно,9:21
349,78  безпересадковий вагон,Ковель Москва,цілий рік щоденно,23:57
419,73  безпересадковий вагон,Москва Ковель,цілий рік щоденно,23:56
354,86,Новоолексіївка Ковель,"18/12/2017-24/03/2018  та з 30/10/2018 по парних, при двох непарних 28,30,2",25:08
57142,86,Новоолексіївка Ковель,18-24/12/2017 по парних,25:08
274,84,Одеса Ковель,"10/12/2017-2/06/2018 по парних, при двох непарних 28,30,2",16:02
56763,127,Харків Ковель,"з 25/12/2017 по непарних, при двох непарних 29,31,3",22:13
56987,127,Харків Ковель,"17,19,21,23/12/2017",22:16
56512,752,Хелм Здолбунів,10/12/2017 - 8/12/2018 щоденно,5:33
56839,754,Хелм Ковель,10/12/2017 - 8/12/2018 щоденно,2:52
251,"357   (""ГУЦУЛЬЩИНА"")","Київ Тернопіль, Рахів",цілий рік щоденно,19:09
56693,747   (ІНТЕРСІТІ),Київ Тернопіль,"з 10/12/2017 щоденно, крім понеділків;  додатково 25/12/2017, 1/01/2018;   відмінено 24,31/12/2017",6:01
397,"358   (""ГУЦУЛЬЩИНА"")","Рахів, Тернопіль Київ",цілий рік щоденно,17:53
56538,748   (ІНТЕРСІТІ),Тернопіль Київ,"з 10/12/2017 щоденно, крім вівторків;  додатково 26/12/2017, 2/01/2018;  відмінено 25/12/2017, 1/01/2018",5:57
14,146,Ізмаїл Київ,цілий рік щоденно;  відмінено 1/01/2018,16:18
57047,585,Ізмаїл Одеса,11/12/2017,7:03
56854,688  безпересадковий вагон,Березине Київ,16/12/2017-25/03/2018 по суботах та неділях,16:34
37561,"797   (""ПІВДЕННИЙ ЕКСПРЕС"")",Вінниця Одеса,"цілий рік щоденно, крім вівторка",6:17
271,"63   (""СКІФІЯ"")",Дніпро Одеса,"9-23/12/2017, 11/01-23/05/2018 та з 1/10/2018 по непарних, при двох непарних 27,29,1,3;  24/12/2017-10/01/2018 (крім 31/12/2017), 24/05-29/09/2018 щоденно",10:53
57138,618  безпересадковий вагон,Дніпро Одеса,"10/02-26/05/2018 та з 2/09/2018 по парних, при двох непарних 28,30,2,4",18:48
54269,618  безпересадковий вагон,Дніпро Одеса,"10/12/2017-8/02/2018 по парних, при двох непарних 28,30,2,4",18:48
290,763   (ІНТЕРСІТІ+),Київ Одеса,з 10/12/2017 щоденно;  відмінено 31/12/2017,7:11
56840,148,Київ Одеса,11/12/2017-1/06/2018 щоденно;  відмінено 1/01/2018,13:19
325,"105   (""ЧОРНОМОРЕЦЬ"")",Київ Одеса,цілий рік щоденно;  відмінено 31/12/2017,9:03
77,223,Київ Одеса,"30,31/12/2017, 8/01/2018",10:10
56853,145  безпересадковий вагон,Київ Березине,15/12/2017-24/03/2018 по п`ятницях та суботах,17:26
12,145,Київ Ізмаїл,цілий рік щоденно;  відмінено 31/12/2017,17:17
56823,642,Кишинеу Одеса,"цілий рік по суботах та неділях;  додатково 22,29/12/2017, 5,12,19/01/2018",4:16
314,92,Костянтинівка Одеса,"10,11/12/2017, 17-30/12/2017, 1-29/01/2018 щоденно;  з 30/01/2018 по парних, при двох непарних 28,30,2",16:34
54347,564  безпересадковий вагон,Кривий Ріг Одеса,"9-23/12/2017, 11/01-23/05/2018 та з 1/10/2018 по непарних, при двох непарних 27,29,1,3;  24/12/2017-10/01/2018 (крім 31/12/2017), 24/05-29/09/2018 щоденно",11:23
57136,"318   (""ТАВРІЯ"")","Кривий Ріг,запоріжжя Одеса","10/02-26/05/2018 та з 2/09/2018 по парних, при двох непарних 28,30,2,4",20:47
265,"318   (""ТАВРІЯ"")","Кривий Ріг,запоріжжя Одеса","10/12/2017-8/02/2018 по парних, при двох непарних 28,30,2,4",20:47
190,94,Мінськ Одеса,"12/12/2017-29/05/2018, 21/09-7/12/2018 по вівторках, п""ятницях;  1/06-20/09/2018 щоденно",22:12
56774,142,Маріуполь Одеса,"з 11/12/2017 по непарних, при двох непарних 29,31,3",21:24
222,23,Москва Одеса,до 5/02/2018 та з 27/04/2018 щоденно;  6/02-26/04/2018 по парних,23:11
375,764   (ІНТЕРСІТІ+),Одеса Київ,з 10/12/2017 щоденно;  відмінено 1/01/2018,7:01
285,"64   (""СКІФІЯ"")",Одеса Дніпро,"10-24/12/2017, 12/01-24/05/2018 та з 2/10/2018 по парних, при двох непарних 28,30,2,4;  25/12/2017-11/01/2018 (крім 1/01/2018), 25/05-30/09/2018 щоденно",10:56
78,224,Одеса Київ,"30/12/2017, 1,8/01/2018",10:10
173,"106   (""ЧОРНОМОРЕЦЬ"")",Одеса Київ,цілий рік щоденно;  відмінено 31/12/2017,8:45
56834,148,Одеса Київ,10/12/2017-31/05/2018 щоденно;  відмінено 31/12/2017,13:14
403,642,Одеса Кишинеу,"цілий рік по суботах та неділях;  додатково 22,29/12/2017, 5,12,19/01/2018",4:29
54418,64  безпересадковий вагон,Одеса Кривий Ріг,"10-24/12/2017, 12/01-24/05/2018 та з 2/10/2018 по парних, при двох непарних 28,30,2,4;  25/12/2017-11/01/2018 (крім 1/01/2018), 25/05-30/09/2018 щоденно",12:16
326,94,Одеса Мінськ,"13/12/2017-30/05/2017, 22/09-8/12/2018 по середах, суботах;  2/06-21/09/2018 щоденно",21:50
208,24,Одеса Москва,до 4/02/2018 та з 26/04/2018 щоденно;  5/02-25/04/2018 по непарних,23:01
