id,name,region
2100220,Ганцевичі,
2100264,Рейтанів,
2100133,Ляховичі,
2100010,Барановичі-Полесские,
2100123,Столбці,
2100001,Мінськ-Пас.,
2100270,Осиповичі 1,
2100271,Осиповичі 2,
2100272,Осиповичі 3,
2100073,Єлізово,
2100076,Несета,
2100150,Могилів 1,
2100298,Могилів 2,
2201153,Могилівка,
2218485,Пустомити,
2218083,Миколаїв-Дніст.,
2218879,Гребенів,
2218089,Тухля,
2218132,Скотарське,
2208455,Перехрестове,
2218959,Бескид,
2200259,Ярошенка,
2208429,Кирнасівка,
2208428,Демківка,
2208427,Ладижин,
2208426,Губник,
2208425,Зятківці,
2208424,Кублич,
2208423,Розкошівка,
2208370,Христинівка,
2208376,Поташ,
2208373,Тальне,
2208379,Звенигородка,
2208369,Багачеве,
2208367,Шпола,
2208340,Черкаси,
2200020,Кролевець,
2200013,Терещенська,
2200010,Хутір-Михайлівський,
2000808,Суземка,
2000420,Брянськ-Льговский,
2210670,Мелітополь,
2210675,Якимівка,
2100568,Якимівка,
2210755,Партизани,
2210790,Новоолексіївка,
2210709,Молочанськ,
2210865,Великий Токмак,
2210698,Верхній Токмак 2,
2210955,Верхній Токмак 1,
2210777,Комиш-Зоря,
2214281,Розівка,
2214230,Волноваха-Пас.,
2214400,Маріуполь,
2210960,Федорівка,"Запорізька область, Мелітопольський район"
2204823,Федорівка,
2000160,Брянськ-Орловськ,
2208451,Одеса-Застава 1, 
2208434,Рудниця,
2200258,Рахни,
2218197,Хриплин,
2219003,Журавно,
5100013,Хелм, 
2218053,Клевань,
20224,Локоть-Клевань Кордон,
2200176,Печанівка,
2218048,Переспа,
2218052,Цумань,
2204610,Кременчук,
2204605,Галещина,
2204606,Козельщина,
2204609,Кобеляки,
2204611,Ліщинівка,"Полтавська область, Кобеляцький район"
2204613,Нові Санжари,
2204590,Полтава-Півд.,
2218148,Теребовля,
2218151,Хоростків,
2218152,Копичинці,
2218135,Чортків,
2218156,Біла Чортківська,
2218179,Товсте,
2218220,Заліщики,
2218247,Стефанешти,
2218564,Городенка-Завод, 
2218242,Гвіздець,
2200242,Гнівань,
2208580,Ізмаїл,
2208497,Котлабух,
2208496,Дзинілор,
2208494,Главані,
2208490,Арциз,
2208492,Сарата,
2208491,Кулевча,
2209382,Ташбунар,
2208495,Аліяга,
2208493,Давлет-Агач,
2031323,Раз'езд 10 Км,
2010405,Раз'езд 1008 Км,
2010406,Раз'езд 1014 Км,
2010407,Раз'езд 1028 Км,
2000997,Раз'езд 103 Км,
2010408,Раз'езд 1049 Км,
2010409,Раз'езд 1059 Км,
2010410,Раз'езд 1064 Км,
2010411,Раз'езд 1076 Км,
2024938,Раз'езд 109 Км,
2209493,Гнаденталь,
2208489,Кантемир,
2014550,Кантемирівка,
2208487,Шабо,
2208467,Барабой,
2208482,Ксенієве,
2208479,Одеса-Західна,
2208612,Березине,
22237,Березине-Басарабяська,
2208054,Містечко,"Одеська область, Арцизький район"
2208499,Паризька,
2208053,Теплиця,
